model,model_label,case_id,category,condition_type,difficulty,num_rules,all_correct,rule_accuracy,false_positives,false_negatives,total_rules,rules_correct
gpt-4.1,GPT-4.1,lex_trigger_0_0,lexical,keyword,easy,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,lex_trigger_0_1,lexical,keyword,easy,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,lex_trigger_0_2,lexical,keyword,easy,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,lex_notrigger_0_0,lexical,keyword,easy,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,lex_notrigger_0_1,lexical,keyword,easy,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,lex_notrigger_0_2,lexical,keyword,easy,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,lex_trigger_1_0,lexical,keyword,easy,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,lex_trigger_1_1,lexical,keyword,easy,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,lex_trigger_1_2,lexical,keyword,easy,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,lex_notrigger_1_0,lexical,keyword,easy,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,lex_notrigger_1_1,lexical,keyword,easy,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,lex_notrigger_1_2,lexical,keyword,easy,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,lex_trigger_2_0,lexical,keyword,easy,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,lex_trigger_2_1,lexical,keyword,easy,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,lex_trigger_2_2,lexical,keyword,easy,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,lex_notrigger_2_0,lexical,keyword,easy,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,lex_notrigger_2_1,lexical,keyword,easy,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,lex_notrigger_2_2,lexical,keyword,easy,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,lex_trigger_3_0,lexical,keyword,easy,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,lex_trigger_3_1,lexical,keyword,easy,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,lex_trigger_3_2,lexical,keyword,easy,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,lex_notrigger_3_0,lexical,keyword,easy,1,False,0.0,1,0,1,0
gpt-4.1,GPT-4.1,lex_notrigger_3_1,lexical,keyword,easy,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,lex_notrigger_3_2,lexical,keyword,easy,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,lex_trigger_4_0,lexical,keyword,easy,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,lex_trigger_4_1,lexical,keyword,easy,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,lex_trigger_4_2,lexical,keyword,easy,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,lex_notrigger_4_0,lexical,keyword,easy,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,lex_notrigger_4_1,lexical,keyword,easy,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,lex_notrigger_4_2,lexical,keyword,easy,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,sem_sentiment_0,semantic,sentiment,hard,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,sem_sentiment_1,semantic,sentiment,hard,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,sem_sentiment_2,semantic,sentiment,hard,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,sem_sentiment_3,semantic,sentiment,hard,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,sem_sentiment_4,semantic,sentiment,hard,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,sem_sentiment_5,semantic,sentiment,hard,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,sem_sentiment_6,semantic,sentiment,hard,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,sem_sentiment_7,semantic,sentiment,hard,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,sem_sentiment_8,semantic,sentiment,hard,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,sem_sentiment_9,semantic,sentiment,hard,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,sem_formality_0,semantic,formality,hard,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,sem_formality_1,semantic,formality,hard,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,sem_formality_2,semantic,formality,hard,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,sem_formality_3,semantic,formality,hard,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,sem_formality_4,semantic,formality,hard,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,sem_formality_5,semantic,formality,hard,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,sem_formality_6,semantic,formality,hard,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,sem_formality_7,semantic,formality,hard,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,sem_request_0,semantic,request_type,hard,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,sem_request_1,semantic,request_type,hard,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,sem_request_2,semantic,request_type,hard,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,sem_request_3,semantic,request_type,hard,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,sem_request_4,semantic,request_type,hard,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,sem_request_5,semantic,request_type,hard,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,sem_request_6,semantic,request_type,hard,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,sem_request_7,semantic,request_type,hard,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,sem_request_8,semantic,request_type,hard,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,sem_request_9,semantic,request_type,hard,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,sem_domain_0,semantic,domain,hard,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,sem_domain_1,semantic,domain,hard,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,sem_domain_2,semantic,domain,hard,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,sem_domain_3,semantic,domain,hard,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,sem_domain_4,semantic,domain,hard,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,sem_domain_5,semantic,domain,hard,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,sem_domain_6,semantic,domain,hard,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,sem_domain_7,semantic,domain,hard,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,sem_domain_8,semantic,domain,hard,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,sem_domain_9,semantic,domain,hard,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,nm_spring_0,nearmiss,polysemy,hard,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,nm_spring_1,nearmiss,polysemy,hard,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,nm_spring_2,nearmiss,polysemy,hard,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,nm_spring_3,nearmiss,polysemy,hard,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,nm_spring_4,nearmiss,polysemy,hard,1,True,1.0,0,0,1,1
